PC	ЦёБо	op	func
00000000	-	-	-
00000000	2010ffff	00 1000	11 1111
00000004	20110000	00 1000	00 0000
00000008	ae300200	10 1011	00 0000
0000000c	22100001	00 1000	00 0001
00000010	22310004	00 1000	00 0100
00000014	ae300200	10 1011	00 0000
00000018	22100001	00 1000	00 0001
0000001c	22310004	00 1000	00 0100
00000020	ae300200	10 1011	00 0000
00000024	22100001	00 1000	00 0001
00000028	22310004	00 1000	00 0100
0000002c	ae300200	10 1011	00 0000
00000030	22100001	00 1000	00 0001
00000034	22310004	00 1000	00 0100
00000038	ae300200	10 1011	00 0000
0000003c	22100001	00 1000	00 0001
00000040	22310004	00 1000	00 0100
00000044	ae300200	10 1011	00 0000
00000048	22100001	00 1000	00 0001
0000004c	22310004	00 1000	00 0100
00000050	ae300200	10 1011	00 0000
00000054	22100001	00 1000	00 0001
00000058	22310004	00 1000	00 0100
0000005c	ae300200	10 1011	00 0000
00000060	00008020	00 0000	10 0000
00000064	2011001c	00 1000	01 1100
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000078	ae330200	10 1011	00 0000
0000007c	ae140200	10 1011	00 0000
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000088	22100004	00 1000	00 0100
0000008c	2011001c	00 1000	01 1100
00000090	1611fff5	00 0101	11 0101
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000078	ae330200	10 1011	00 0000
0000007c	ae140200	10 1011	00 0000
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000088	22100004	00 1000	00 0100
0000008c	2011001c	00 1000	01 1100
00000090	1611fff5	00 0101	11 0101
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000078	ae330200	10 1011	00 0000
0000007c	ae140200	10 1011	00 0000
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000088	22100004	00 1000	00 0100
0000008c	2011001c	00 1000	01 1100
00000090	1611fff5	00 0101	11 0101
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000078	ae330200	10 1011	00 0000
0000007c	ae140200	10 1011	00 0000
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000088	22100004	00 1000	00 0100
0000008c	2011001c	00 1000	01 1100
00000090	1611fff5	00 0101	11 0101
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000088	22100004	00 1000	00 0100
0000008c	2011001c	00 1000	01 1100
00000090	1611fff5	00 0101	11 0101
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000088	22100004	00 1000	00 0100
0000008c	2011001c	00 1000	01 1100
00000090	1611fff5	00 0101	11 0101
00000068	8e130200	10 0011	00 0000
0000006c	8e340200	10 0011	00 0000
00000070	0274402a	00 0000	10 1010
00000074	11000002	00 0100	00 0010
00000080	2231fffc	00 1000	11 1100
00000084	1611fff8	00 0101	11 1000
00000088	22100004	00 1000	00 0100
0000008c	2011001c	00 1000	01 1100
00000090	1611fff5	00 0101	11 0101
00000094	2002000a	00 1000	00 1010
00000098	0000000c	00 0000	00 1100
